generation,index,fitness,individual
1,0,2.3020513e-5,"""0.5523469;0.7790654"""
1,1,2.3020513e-5,"""0.572082;0.38644356"""
1,2,0.028491236,"""0.57606715;0.18625046"""
1,3,0.007722694,"""0.70624095;0.39596575"""
2,0,2.3020513e-5,"""0.572082;0.38644356"""
2,1,0.007961835,"""0.57606715;0.18625046"""
2,2,0.013723217,"""0.572082;0.18625046"""
2,3,2.3020513e-5,"""0.57606715;0.38644356"""
3,0,2.3020513e-5,"""0.572082;0.38644356"""
3,1,0.018023811,"""0.572082;0.18625046"""
3,2,2.3020513e-5,"""0.572082;0.38644356"""
3,3,0.023129784,"""0.572082;0.18625046"""
4,0,2.3020513e-5,"""0.572082;0.38644356"""
4,1,0.018608598,"""0.572082;0.18625046"""
4,2,2.3020513e-5,"""0.572082;0.38644356"""
4,3,0.021201497,"""0.572082;0.18625046"""
5,0,2.3020513e-5,"""0.572082;0.38644356"""
5,1,0.012902202,"""0.572082;0.18625046"""
5,2,0.008948229,"""0.572082;0.18625046"""
5,3,2.3020513e-5,"""0.572082;0.38644356"""
6,0,2.3020513e-5,"""0.572082;0.38644356"""
6,1,0.008905883,"""0.572082;0.18625046"""
6,2,0.010142952,"""0.572082;0.18625046"""
6,3,2.3020513e-5,"""0.572082;0.38644356"""
7,0,2.3020513e-5,"""0.572082;0.38644356"""
7,1,0.02102419,"""0.572082;0.18625046"""
7,2,0.014604032,"""0.572082;0.18625046"""
7,3,2.3020513e-5,"""0.572082;0.38644356"""
8,0,2.3020513e-5,"""0.572082;0.38644356"""
8,1,0.014930306,"""0.572082;0.18625046"""
8,2,0.011009492,"""0.572082;0.18625046"""
8,3,2.3020513e-5,"""0.572082;0.38644356"""
9,0,2.3020513e-5,"""0.572082;0.38644356"""
9,1,0.007320429,"""0.572082;0.18625046"""
9,2,2.3020513e-5,"""0.572082;0.38644356"""
9,3,0.016616898,"""0.572082;0.18625046"""
10,0,2.3020513e-5,"""0.572082;0.38644356"""
10,1,0.0075389585,"""0.572082;0.18625046"""
10,2,0.010039593,"""0.572082;0.18625046"""
10,3,2.3020513e-5,"""0.572082;0.38644356"""
11,0,2.3020513e-5,"""0.572082;0.38644356"""
11,1,0.015793681,"""0.572082;0.18625046"""
11,2,2.3020513e-5,"""0.572082;0.38644356"""
11,3,0.010888251,"""0.572082;0.18625046"""
12,0,2.3020513e-5,"""0.572082;0.38644356"""
12,1,0.017454626,"""0.572082;0.18625046"""
12,2,0.015099368,"""0.572082;0.18625046"""
12,3,2.3020513e-5,"""0.572082;0.38644356"""
13,0,2.3020513e-5,"""0.572082;0.38644356"""
13,1,0.0043101925,"""0.572082;0.18625046"""
13,2,0.010312157,"""0.572082;0.18625046"""
13,3,2.3020513e-5,"""0.572082;0.38644356"""
14,0,2.3020513e-5,"""0.572082;0.38644356"""
14,1,0.009919159,"""0.572082;0.18625046"""
14,2,2.3020513e-5,"""0.572082;0.38644356"""
14,3,0.0033184711,"""0.572082;0.18625046"""
15,0,2.3020513e-5,"""0.572082;0.38644356"""
15,1,0.008420497,"""0.572082;0.18625046"""
15,2,0.014102518,"""0.572082;0.18625046"""
15,3,2.3020513e-5,"""0.572082;0.38644356"""
16,0,2.3020513e-5,"""0.572082;0.38644356"""
16,1,0.0036426506,"""0.572082;0.18625046"""
16,2,2.3020513e-5,"""0.572082;0.38644356"""
16,3,0.018796658,"""0.572082;0.18625046"""
17,0,2.3020513e-5,"""0.77165556;0.38644356"""
17,1,0.01172828,"""0.572082;0.18625046"""
17,2,0.03211761,"""0.77165556;0.18625046"""
17,3,0.0017366642,"""0.572082;0.38644356"""
18,0,2.3020513e-5,"""0.572082;0.38644356"""
18,1,0.03042277,"""0.77165556;0.18625046"""
18,2,0.0096234605,"""0.572082;0.18625046"""
18,3,2.3020513e-5,"""0.77165556;0.38644356"""
19,0,2.3020513e-5,"""0.572082;0.38644356"""
19,1,0.05048871,"""0.77165556;0.18625046"""
19,2,0.012296113,"""0.572082;0.18625046"""
19,3,2.3020513e-5,"""0.77165556;0.38644356"""
20,0,2.3020513e-5,"""0.572082;0.38644356"""
20,1,0.0501615,"""0.77165556;0.18625046"""
20,2,2.3020513e-5,"""0.77165556;0.38644356"""
20,3,0.010559356,"""0.572082;0.18625046"""
21,0,2.3020513e-5,"""0.572082;0.38644356"""
21,1,0.02626173,"""0.77165556;0.18625046"""
21,2,0.023539178,"""0.572082;0.18625046"""
21,3,2.3020513e-5,"""0.77165556;0.38644356"""
22,0,2.3020513e-5,"""0.77165556;0.38644356"""
22,1,0.029726684,"""0.77165556;0.18625046"""
22,2,2.3020513e-5,"""0.77165556;0.38644356"""
22,3,0.05194908,"""0.77165556;0.18625046"""
23,0,2.3020513e-5,"""0.77165556;0.38644356"""
23,1,0.054093737,"""0.77165556;0.18625046"""
23,2,0.01594203,"""0.77165556;0.18625046"""
23,3,2.3020513e-5,"""0.77165556;0.38644356"""
24,0,2.3020513e-5,"""0.77165556;0.38644356"""
24,1,0.054491017,"""0.77165556;0.18625046"""
24,2,0.035002314,"""0.77165556;0.18625046"""
24,3,2.3020513e-5,"""0.77165556;0.38644356"""
25,0,2.3020513e-5,"""0.77165556;0.38644356"""
25,1,0.05598809,"""0.77165556;0.18625046"""
25,2,2.3020513e-5,"""0.77165556;0.38644356"""
25,3,0.04604418,"""0.77165556;0.18625046"""
26,0,2.3020513e-5,"""0.77165556;0.38644356"""
26,1,0.03746569,"""0.77165556;0.18625046"""
26,2,0.030816056,"""0.77165556;0.18625046"""
26,3,2.3020513e-5,"""0.77165556;0.38644356"""
27,0,2.3020513e-5,"""0.77165556;0.38644356"""
27,1,0.03194179,"""0.77165556;0.18625046"""
27,2,2.3020513e-5,"""0.77165556;0.38644356"""
27,3,0.04402175,"""0.77165556;0.18625046"""
28,0,2.3020513e-5,"""0.77165556;0.38644356"""
28,1,0.030508518,"""0.77165556;0.18625046"""
28,2,0.02571109,"""0.77165556;0.18625046"""
28,3,2.3020513e-5,"""0.77165556;0.38644356"""
29,0,2.3020513e-5,"""0.77165556;0.38644356"""
29,1,0.03781027,"""0.77165556;0.18625046"""
29,2,0.03144247,"""0.77165556;0.18625046"""
29,3,2.3020513e-5,"""0.77165556;0.38644356"""
30,0,2.3020513e-5,"""0.77165556;0.38644356"""
30,1,0.041299753,"""0.77165556;0.18625046"""
30,2,2.3020513e-5,"""0.77165556;0.38644356"""
30,3,0.033855893,"""0.77165556;0.18625046"""
31,0,2.3020513e-5,"""0.77165556;0.38644356"""
31,1,0.0514349,"""0.77165556;0.18625046"""
31,2,2.3020513e-5,"""0.77165556;0.38644356"""
31,3,0.006528846,"""0.77165556;0.18625046"""
32,0,2.3020513e-5,"""0.77165556;0.38644356"""
32,1,0.05283558,"""0.77165556;0.18625046"""
32,2,2.3020513e-5,"""0.77165556;0.38644356"""
32,3,0.056010477,"""0.77165556;0.18625046"""
33,0,2.3020513e-5,"""0.77165556;0.38644356"""
33,1,0.04402511,"""0.77165556;0.18625046"""
33,2,2.3020513e-5,"""0.77165556;0.38644356"""
33,3,0.018118067,"""0.77165556;0.18625046"""
34,0,2.3020513e-5,"""0.77165556;0.38644356"""
34,1,0.028590832,"""0.77165556;0.18625046"""
34,2,2.3020513e-5,"""0.77165556;0.38644356"""
34,3,0.018362379,"""0.77165556;0.18625046"""
35,0,2.3020513e-5,"""0.77165556;0.38644356"""
35,1,0.028250122,"""0.77165556;0.18625046"""
35,2,0.029839557,"""0.77165556;0.18625046"""
35,3,2.3020513e-5,"""0.77165556;0.38644356"""
36,0,2.3020513e-5,"""0.77165556;0.38644356"""
36,1,0.025804434,"""0.77165556;0.18625046"""
36,2,0.05089096,"""0.77165556;0.18625046"""
36,3,2.3020513e-5,"""0.77165556;0.38644356"""
37,0,2.3020513e-5,"""0.77165556;0.38644356"""
37,1,0.03690578,"""0.77165556;0.18625046"""
37,2,2.3020513e-5,"""0.77165556;0.38644356"""
37,3,0.046227846,"""0.77165556;0.18625046"""
38,0,2.3020513e-5,"""0.77165556;0.38644356"""
38,1,0.03787914,"""0.77165556;0.18625046"""
38,2,2.3020513e-5,"""0.77165556;0.38644356"""
38,3,0.03881212,"""0.77165556;0.18625046"""
39,0,2.3020513e-5,"""0.60607666;0.38644356"""
39,1,0.04774972,"""0.77165556;0.18625046"""
39,2,2.3020513e-5,"""0.77165556;0.38644356"""
39,3,0.018760197,"""0.60607666;0.18625046"""
40,0,2.3020513e-5,"""0.77165556;0.38644356"""
40,1,0.010758774,"""0.77165556;0.18625046"""
40,2,2.3020513e-5,"""0.77165556;0.38644356"""
40,3,0.03941006,"""0.77165556;0.18625046"""
41,0,2.3020513e-5,"""0.77165556;0.38644356"""
41,1,0.04670327,"""0.77165556;0.18625046"""
41,2,2.3020513e-5,"""0.77165556;0.38644356"""
41,3,0.036727488,"""0.77165556;0.18625046"""
42,0,2.3020513e-5,"""0.77165556;0.38644356"""
42,1,0.047446977,"""0.77165556;0.18625046"""
42,2,0.03983972,"""0.77165556;0.18625046"""
42,3,2.3020513e-5,"""0.77165556;0.38644356"""
43,0,2.3020513e-5,"""0.77165556;0.38644356"""
43,1,0.034010753,"""0.77165556;0.18625046"""
43,2,2.3020513e-5,"""0.77165556;0.38644356"""
43,3,0.035989262,"""0.77165556;0.18625046"""
44,0,2.3020513e-5,"""0.77165556;0.38644356"""
44,1,0.023991099,"""0.6202463;0.18625046"""
44,2,0.028955568,"""0.77165556;0.18625046"""
44,3,2.3020513e-5,"""0.6202463;0.38644356"""
45,0,2.3020513e-5,"""0.6202463;0.38644356"""
45,1,0.044987917,"""0.77165556;0.18625046"""
45,2,2.3020513e-5,"""0.77165556;0.38644356"""
45,3,0.016763316,"""0.6202463;0.18625046"""
46,0,2.3020513e-5,"""0.77165556;0.38644356"""
46,1,0.046110876,"""0.77165556;0.18625046"""
46,2,2.3020513e-5,"""0.77165556;0.38644356"""
46,3,0.045220394,"""0.77165556;0.18625046"""
47,0,2.3020513e-5,"""0.77165556;0.38644356"""
47,1,0.013149095,"""0.77165556;0.18625046"""
47,2,2.3020513e-5,"""0.77165556;0.38644356"""
47,3,0.060932484,"""0.77165556;0.18625046"""
48,0,2.3020513e-5,"""0.77165556;0.38644356"""
48,1,0.028451122,"""0.6754791;0.18625046"""
48,2,0.053395104,"""0.77165556;0.18625046"""
48,3,2.3020513e-5,"""0.6754791;0.38644356"""
49,0,2.3020513e-5,"""0.6754791;0.38644356"""
49,1,0.03788556,"""0.77165556;0.18625046"""
49,2,0.023738358,"""0.6754791;0.18625046"""
49,3,2.3020513e-5,"""0.77165556;0.38644356"""
50,0,2.3020513e-5,"""0.6754791;0.38644356"""
50,1,0.05178142,"""0.77165556;0.18625046"""
50,2,0.027891614,"""0.6754791;0.18625046"""
50,3,2.3020513e-5,"""0.77165556;0.38644356"""
